,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
356,0.32009,0.42541,0.51846,0.5901,0.63963,0.68089,0.70955,0.71945,0.71,0.6814,0.63444,0.5704600000000001,0.49158,0.40364,0.32729,0.25043000000000004,0.15502,0.036804,0.085439,0.20556999999999997,0.32005,0.42536999999999997,0.5184300000000001,0.5901,0.63963,0.68085,0.7095100000000001,0.7194,0.70995,0.68135,0.63439,0.5704100000000001,0.49151999999999996,0.40352,0.32706,0.2502,0.15492999999999998,0.036742000000000004,0.085488,0.20561999999999997,6
259,0.37215,0.47945,0.5735100000000001,0.6483,0.69458,0.72612,0.74583,0.74746,0.72927,0.69115,0.63544,0.56514,0.47933000000000003,0.38477,0.3087,0.22851999999999997,0.12318,0.009011,0.13055,0.25504,0.37271,0.48001000000000005,0.57407,0.64886,0.69513,0.72668,0.7464,0.74803,0.7298399999999999,0.69172,0.636,0.5657,0.47989,0.38526,0.3091,0.22891999999999998,0.12372000000000001,0.0090641,0.12996,0.25447,3
6438,0.2565,0.36779,0.46876,0.55479,0.6128,0.65466,0.68794,0.70657,0.70692,0.68805,0.65096,0.59935,0.53178,0.45038999999999996,0.36417,0.30109,0.24534,0.1408,0.015578999999999999,0.10885999999999998,0.22785999999999998,0.33916999999999997,0.43998999999999994,0.5220899999999999,0.57731,0.6221399999999999,0.65815,0.67756,0.67815,0.65957,0.62459,0.57404,0.50688,0.42751000000000006,0.35544000000000003,0.3004,0.22999,0.11324000000000001,0.010459,0.13625,0
670,0.37829,0.48013,0.56844,0.63422,0.67282,0.7065,0.72864,0.7315699999999999,0.71423,0.67702,0.62102,0.5479,0.45997,0.36179,0.26813000000000003,0.18218,0.089545,0.023443000000000002,0.14703,0.26655,0.37863,0.48047,0.56876,0.63457,0.67318,0.7068300000000001,0.72897,0.7319,0.71455,0.6773399999999999,0.62134,0.5482100000000001,0.46026999999999996,0.36205,0.26827,0.18228,0.08973500000000001,0.023413999999999997,0.14674,0.26621999999999996,9
2109,0.37279,0.48008999999999996,0.57415,0.64894,0.69522,0.7267600000000001,0.74648,0.74811,0.72992,0.6918,0.63608,0.5657800000000001,0.47997,0.38534,0.30916,0.22896999999999998,0.1238,0.009072700000000001,0.12988,0.25438,0.37206999999999996,0.47936999999999996,0.57343,0.64822,0.6945,0.7260300000000001,0.74575,0.74738,0.72919,0.69107,0.63535,0.56506,0.47925,0.3847,0.30864,0.22846,0.1231,0.0090037,0.13063,0.25511999999999996,3
994,0.32723,0.43446,0.52815,0.59929,0.65295,0.69534,0.7245,0.73457,0.72478,0.69533,0.64703,0.58124,0.5001,0.40906,0.32985,0.25254,0.15697,0.036188,0.08904400000000001,0.2121,0.32916,0.43638999999999994,0.53009,0.60123,0.6549,0.69729,0.72645,0.73651,0.72672,0.69728,0.6489699999999999,0.58317,0.50205,0.4109,0.33152,0.25418,0.15887,0.038127,0.087007,0.21011999999999997,10
1286,0.24720999999999999,0.3613,0.46395,0.54857,0.6083,0.65213,0.68842,0.7085,0.7093,0.69006,0.65293,0.6008899999999999,0.53155,0.44856,0.36507,0.30675,0.24700999999999998,0.13233,0.0070089,0.1248,0.24715,0.36122,0.46387,0.5484100000000001,0.60814,0.652,0.68834,0.70844,0.70923,0.68999,0.65287,0.60083,0.5314800000000001,0.44848999999999994,0.36496,0.30662,0.24691,0.13226,0.0069795000000000005,0.12487000000000001,2
4938,0.3829,0.49187,0.58657,0.6603600000000001,0.70954,0.7408600000000001,0.7610600000000001,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.0093655,0.13324,0.26042,0.38040999999999997,0.48938000000000004,0.58408,0.6578,0.70697,0.73832,0.75857,0.76018,0.7414,0.70218,0.64494,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.0092031,0.13582,0.26295,5
2980,0.24184,0.35314,0.45407,0.5385800000000001,0.59459,0.63776,0.6726300000000001,0.6916899999999999,0.69219,0.67332,0.6371399999999999,0.58643,0.5189600000000001,0.43843999999999994,0.35858,0.30034,0.23886999999999997,0.12675,0.006120899999999999,0.12289000000000001,0.24184,0.35314,0.45407,0.5385800000000001,0.59459,0.63776,0.6726300000000001,0.6916899999999999,0.69219,0.67332,0.6371399999999999,0.58643,0.5189600000000001,0.43843999999999994,0.35858,0.30034,0.23886999999999997,0.12675,0.006120899999999999,0.12289000000000001,0
804,0.40046,0.5147,0.61812,0.7078399999999999,0.78057,0.82791,0.8543700000000001,0.8670700000000001,0.8655,0.84509,0.8056800000000001,0.74795,0.67296,0.58245,0.48028999999999994,0.37012,0.25193000000000004,0.13845,0.07379400000000001,0.013191999999999999,0.1013,0.21329,0.30253,0.37445,0.43808,0.49617,0.5380699999999999,0.56391,0.5707300000000001,0.55819,0.52879,0.49383999999999995,0.46565,0.42758,0.3492,0.23956999999999998,0.11659000000000001,0.012620999999999999,0.13975,0.26661,2
835,0.37831,0.48013999999999996,0.56845,0.6342300000000001,0.67283,0.7065100000000001,0.7286600000000001,0.73158,0.71424,0.67703,0.62103,0.54791,0.45998,0.3618,0.26814,0.18219000000000002,0.089554,0.023441999999999998,0.14702,0.26654,0.37861999999999996,0.48046000000000005,0.56875,0.63456,0.6731699999999999,0.70682,0.72896,0.7318899999999999,0.71454,0.67733,0.62133,0.5482,0.46026000000000006,0.36204000000000003,0.26826,0.18227000000000002,0.089727,0.023416,0.14675,0.26623,9
4883,0.17815,0.28153,0.37508,0.44959,0.50871,0.56021,0.60315,0.63002,0.63947,0.63121,0.60545,0.56297,0.50507,0.43387,0.35813,0.30516,0.25728,0.15865,0.045035000000000006,0.068445,0.17833,0.2817,0.37524,0.44973,0.50885,0.5603899999999999,0.60333,0.6302,0.63966,0.63139,0.60564,0.56316,0.50526,0.43408,0.35843,0.30551999999999996,0.25756,0.15885,0.04523,0.068257,4
3456,0.26554,0.37525,0.47423999999999994,0.55895,0.62166,0.66493,0.6947399999999999,0.711,0.70944,0.68925,0.65193,0.60058,0.53505,0.46571999999999997,0.40686,0.33061,0.21899999999999997,0.097649,0.026027999999999996,0.14815,0.26557,0.37528,0.47426999999999997,0.55897,0.62169,0.66496,0.69477,0.71103,0.7094699999999999,0.68928,0.65196,0.6006100000000001,0.5350699999999999,0.46574,0.40688,0.33064,0.21903000000000003,0.097679,0.025998,0.14812,8
73,0.32916999999999996,0.4364,0.53009,0.60124,0.65491,0.6973,0.72645,0.73652,0.72673,0.69728,0.6489699999999999,0.58317,0.5020600000000001,0.4109,0.33152,0.25418,0.15888,0.038130000000000004,0.087004,0.21011999999999997,0.32721999999999996,0.43445,0.5281399999999999,0.59928,0.65294,0.69534,0.7245,0.73456,0.72477,0.69533,0.6470199999999999,0.58123,0.5001,0.40906,0.32985,0.25253000000000003,0.15697,0.036186,0.089047,0.2121,10
5947,0.22216,0.33141,0.42901000000000006,0.50661,0.56985,0.62315,0.66389,0.68714,0.6916399999999999,0.67709,0.64382,0.59272,0.52523,0.44328,0.35336999999999996,0.28549,0.23781,0.13664,0.015323,0.10672999999999999,0.22401999999999997,0.33326999999999996,0.43087,0.50847,0.5717300000000001,0.62503,0.66576,0.6890000000000001,0.69348,0.67893,0.64565,0.59454,0.52703,0.44504,0.35486,0.28625,0.23855,0.13839,0.017006999999999998,0.10494,7
4215,0.38282,0.49178999999999995,0.5865,0.6603100000000001,0.70949,0.7408,0.7609899999999999,0.7626,0.74382,0.7045899999999999,0.64732,0.57521,0.48721000000000003,0.38942,0.31076,0.23049,0.12549000000000002,0.009357299999999999,0.13332,0.26049,0.38049,0.48945,0.58415,0.65784,0.70702,0.73838,0.75864,0.76025,0.74147,0.70225,0.6450199999999999,0.57292,0.48491000000000006,0.38732,0.30912,0.22885,0.12327,0.0092069,0.13575,0.26288,5
976,0.3829,0.49187,0.58657,0.6603600000000001,0.70954,0.7408600000000001,0.7610600000000001,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.0093655,0.13324,0.26042,0.38040999999999997,0.48938000000000004,0.58408,0.6578,0.70697,0.73832,0.75857,0.76018,0.7414,0.70218,0.64494,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.0092031,0.13582,0.26295,5
6304,0.17625,0.27724,0.36951999999999996,0.44431000000000004,0.49851999999999996,0.54801,0.58955,0.61527,0.6240899999999999,0.6157199999999999,0.59039,0.54887,0.49241,0.42318999999999996,0.35088,0.29858,0.24886999999999998,0.1519,0.041416,0.06888899999999999,0.17582,0.27681999999999995,0.36912,0.44401999999999997,0.49823,0.5475800000000001,0.58912,0.6148399999999999,0.62365,0.61527,0.5899399999999999,0.5484100000000001,0.49195,0.42268,0.35014,0.29772,0.24821999999999997,0.15142,0.040948000000000005,0.069341,1
1612,0.3272,0.43443000000000004,0.5281100000000001,0.59923,0.6529,0.69531,0.72448,0.73454,0.72475,0.69531,0.647,0.58121,0.50008,0.40905,0.32986,0.25254,0.15695,0.036164999999999996,0.089071,0.21211999999999998,0.32919,0.43643000000000004,0.53013,0.60129,0.65495,0.6973199999999999,0.72647,0.73654,0.72675,0.6973,0.64899,0.58319,0.50208,0.41091000000000005,0.33150999999999997,0.25417,0.15889,0.03815,0.08698,0.2101,10
