,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
6497,0.33776999999999996,0.35512,0.38638,0.45646000000000003,0.5264,0.56735,0.61536,0.6645800000000001,0.70765,0.74044,0.76062,0.76748,0.76094,0.7415,0.70377,0.64562,0.57062,0.49446,0.42361000000000004,0.36641999999999997,0.33813000000000004,0.35557,0.38685,0.4569,0.5269,0.56776,0.61568,0.66484,0.70786,0.7406,0.76073,0.76755,0.76097,0.7415,0.7037899999999999,0.64565,0.57063,0.49438000000000004,0.42345,0.36617,9
1211,0.34521999999999997,0.37829,0.43363,0.52678,0.6093,0.66218,0.71241,0.75708,0.79291,0.8165600000000001,0.8260700000000001,0.8208700000000001,0.8014600000000001,0.7691,0.72456,0.65778,0.56843,0.48585,0.41292,0.35933000000000004,0.34715,0.3839,0.44283,0.53784,0.62017,0.67376,0.7247,0.76978,0.8057300000000001,0.8293299999999999,0.8386399999999999,0.83309,0.81318,0.78009,0.73524,0.66966,0.5797,0.49451000000000006,0.41953,0.36268,4
1529,0.34583,0.38082,0.43799,0.5321100000000001,0.6145,0.66779,0.71845,0.7633800000000001,0.7993100000000001,0.8229700000000001,0.83242,0.8270700000000001,0.80743,0.77474,0.7301,0.66395,0.57418,0.49037,0.41644,0.36123,0.34645,0.38148000000000004,0.43866000000000005,0.53279,0.61526,0.66846,0.71899,0.76383,0.79969,0.8232700000000001,0.83265,0.82724,0.80753,0.77475,0.7300300000000001,0.66391,0.57412,0.4902,0.41616000000000003,0.3608,4
579,0.35853,0.40197,0.47016,0.57028,0.65177,0.70657,0.75837,0.80329,0.8381200000000001,0.8597799999999999,0.8665299999999999,0.85795,0.83462,0.7967,0.7412,0.66603,0.5773,0.49151999999999996,0.41544,0.36336999999999997,0.35886,0.40216999999999997,0.47031000000000006,0.5704100000000001,0.65188,0.7065899999999999,0.7582800000000001,0.80314,0.8379200000000001,0.85954,0.86625,0.8576299999999999,0.8343,0.79627,0.7407199999999999,0.6655300000000001,0.57687,0.49108999999999997,0.41503,0.36298,10
2502,0.30942,0.34776999999999997,0.40481,0.49423,0.57553,0.63015,0.672,0.70526,0.7300300000000001,0.74429,0.74639,0.73583,0.71286,0.68011,0.63962,0.5868800000000001,0.5138199999999999,0.43995,0.3727,0.32147,0.30905,0.34751,0.4048,0.49438000000000004,0.5756100000000001,0.63017,0.67208,0.7054199999999999,0.73028,0.74462,0.74678,0.73629,0.71337,0.68067,0.64023,0.5875199999999999,0.51444,0.44059,0.3733,0.32202,7
1451,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0
906,0.37940999999999997,0.41638000000000003,0.46213999999999994,0.53192,0.61134,0.66493,0.69065,0.70624,0.71575,0.71931,0.7251,0.7269,0.7158899999999999,0.6944100000000001,0.65281,0.59311,0.52303,0.4601,0.40779,0.37574,0.37919,0.41608,0.46186000000000005,0.53173,0.61112,0.6645800000000001,0.69026,0.70586,0.71539,0.7190000000000001,0.72487,0.7267,0.7157399999999999,0.69425,0.65253,0.5928,0.52287,0.46003999999999995,0.40783,0.37587,5
6586,0.43663,0.47186999999999996,0.50688,0.56524,0.64086,0.69992,0.72465,0.73474,0.7358,0.72921,0.7183,0.7094600000000001,0.69334,0.66606,0.62538,0.5652699999999999,0.49018999999999996,0.41902,0.35901,0.32131,0.32488,0.36503,0.4224,0.50459,0.58187,0.6302800000000001,0.6601100000000001,0.68395,0.70223,0.72153,0.73988,0.74603,0.7406699999999999,0.72128,0.67888,0.61897,0.55728,0.5011800000000001,0.45518000000000003,0.42748,5
404,0.37167,0.39769,0.43151000000000006,0.49168999999999996,0.57387,0.6282399999999999,0.65295,0.66899,0.68101,0.68928,0.7014699999999999,0.71034,0.7065,0.69158,0.65528,0.6007600000000001,0.5349,0.4734,0.41886,0.37964000000000003,0.36746,0.39471999999999996,0.4294,0.49168,0.5744199999999999,0.62764,0.65261,0.6694100000000001,0.68237,0.69197,0.70541,0.71472,0.71126,0.6964899999999999,0.66001,0.6054,0.53988,0.47862,0.42415,0.38465,3
5574,0.40899,0.44656,0.48896000000000006,0.55133,0.628,0.68805,0.71762,0.7360899999999999,0.74715,0.75149,0.75807,0.75945,0.74646,0.7219,0.67747,0.61743,0.55218,0.49035,0.43851999999999997,0.40642,0.40898,0.44653999999999994,0.48894,0.5513,0.6279600000000001,0.68801,0.71758,0.73605,0.7471,0.75144,0.75802,0.75941,0.74642,0.7218600000000001,0.67743,0.61739,0.55215,0.49032,0.4385,0.40641,8
